theta1,omega1,theta2,omega2,next_theta1,next_omega1,next_theta2,next_omega2,rollout
-0.8576235169403177,-1.6855237536159,-1.2095970133657203,-9.564789993080947,-0.8927735728487152,-1.6934497694836297,-1.4065399762491646,-9.335724406051565,1
-0.8927735728487152,-1.6934497694836297,-1.4065399762491646,-9.335724406051565,-0.9284217634911676,-1.7331769157785313,-1.5982816004476819,-9.065161611520296,1
-0.9284217634911676,-1.7331769157785313,-1.5982816004476819,-9.065161611520296,-0.965075198695073,-1.7897333349803075,-1.7841973997060636,-8.77712580984947,1
-0.965075198695073,-1.7897333349803075,-1.7841973997060636,-8.77712580984947,-1.0029886001395958,-1.85100536348493,-1.9640580489679673,-8.490029980044374,1
-1.0029886001395958,-1.85100536348493,-1.9640580489679673,-8.490029980044374,-1.042164301355667,-1.907737531604638,-2.138029384375916,-8.216675879753256,1
-1.042164301355667,-1.907737531604638,-2.138029384375916,-8.216675879753256,-1.08241329709697,-1.9541497254696878,-2.3065424779326653,-7.96453758475708,2
-1.08241329709697,-1.9541497254696878,-2.3065424779326653,-7.96453758475708,-1.1234958638717476,-1.9875712909598668,-2.470062173718137,-7.737686090796238,2
-1.1234958638717476,-1.9875712909598668,-2.470062173718137,-7.737686090796238,-1.165127876709663,-2.00658528676802,-2.6291390521491826,-7.538540519301852,2
-1.165127876709663,-2.00658528676802,-2.6291390521491826,-7.538540519301852,-1.2069236358388384,-2.0101477796060396,-2.784272426002244,-7.367712123354644,2
-1.2069236358388384,-2.0101477796060396,-2.784272426002244,-7.367712123354644,-1.2485134218449196,-1.9984353654057458,-2.9360006722616285,-7.225460252931789,2
-1.2485134218449196,-1.9984353654057458,-2.9360006722616285,-7.225460252931789,-1.2897406735170858,-1.974191940364995,-3.085096392457015,-7.112871275193289,2
-1.2897406735170858,-1.974191940364995,-3.085096392457015,-7.112871275193289,-1.3304390825425236,-1.9395376154368715,-3.2322695051830763,-7.030185058296721,2
-1.3304390825425236,-1.9395376154368715,-3.2322695051830763,-7.030185058296721,-1.3704277023951636,-1.895903464105851,-3.378160837221748,-6.97676219278113,2
-1.3704277023951636,-1.895903464105851,-3.378160837221748,-6.97676219278113,-1.4095109483356802,-1.8440315223877985,-3.52334212354223,-6.9510839915670255,2
-1.4095109483356802,-1.8440315223877985,-3.52334212354223,-6.9510839915670255,-1.4474785974114919,-1.78397478882997,-3.6683160073009837,-6.950752489956384,2
-1.4474785974114919,-1.78397478882997,-3.6683160073009837,-6.950752489956384,-1.4841057884567603,-1.7150972245110112,-3.8135160398417347,-6.9724904456326495,2
-1.4841057884567603,-1.7150972245110112,-3.8135160398417347,-6.9724904456326495,-1.519153022092392,-1.636073753040958,-3.959306680695472,-7.012141338660728,2
-1.519153022092392,-1.636073753040958,-3.959306680695472,-7.012141338660728,-1.5523661607260362,-1.544890260561237,-4.1059832975804476,-7.064669371486994,2
-1.5523661607260362,-1.544890260561237,-4.1059832975804476,-7.064669371486994,-1.5834764285520873,-1.4388435957446641,-4.253772166402176,-7.124159468939289,2
-1.5834764285520873,-1.4388435957446641,-4.253772166402176,-7.124159468939289,-1.6122200629353969,-1.3150227117709925,-4.402877767259271,-7.1843291252324954,2
-1.6122200629353969,-1.3150227117709925,-4.402877767259271,-7.1843291252324954,-1.6382626287095137,-1.1710614951497809,-4.553341324931143,-7.237224095330386,2
-1.6382626287095137,-1.1710614951497809,-4.553341324931143,-7.237224095330386,-1.6610085131169692,-1.00236027998486,-4.70460464475309,-7.270816873814168,2
-1.6610085131169692,-1.00236027998486,-4.70460464475309,-7.270816873814168,-1.6798605777495375,-0.8056945944558264,-4.8560863580108915,-7.276744126446454,2
-1.6798605777495375,-0.8056945944558264,-4.8560863580108915,-7.276744126446454,-1.6942441445659222,-0.5796149474527641,-5.007236506713831,-7.2509463999994965,2
-1.6942441445659222,-0.5796149474527641,-5.007236506713831,-7.2509463999994965,-1.7036069958917568,-0.3244468285762443,-5.1575365435947,-7.193668122255188,2
-1.7036069958917568,-0.3244468285762443,-5.1575365435947,-7.193668122255188,-1.7074193744196036,-0.04229070813732516,-5.306499332109796,-7.109457602005058,2
-1.7074193744196036,-0.04229070813732516,-5.306499332109796,-7.109457602005058,-1.7051739832089547,0.26297796284244646,-5.453669146438923,-7.007167029050278,2
-1.7051739832089547,0.26297796284244646,-5.453669146438923,-7.007167029050278,-1.6963865743379514,0.5857178484753733,-5.5986234399036565,-6.899943745613909,2
-1.6963865743379514,0.5857178484753733,-5.5986234399036565,-6.899943745613909,-1.6807141627608038,0.9205504865863074,-5.741332943063399,-6.803137301148736,2
-1.6807141627608038,0.9205504865863074,-5.741332943063399,-6.803137301148736,-1.657970805384212,1.2639520675437927,-5.882264872423931,-6.731868422711735,3
-1.657970805384212,1.2639520675437927,-5.882264872423931,-6.731868422711735,-1.628007220992154,1.6135954757441768,-6.022109111617221,-6.701005919637833,3
-1.628007220992154,1.6135954757441768,-6.022109111617221,-6.701005919637833,-1.5907000701713265,1.968923774761629,-6.161845215532692,-6.724031633471424,3
-1.5907000701713265,1.968923774761629,-6.161845215532692,-6.724031633471424,-1.5460225951802538,2.328839629070185,-6.302476865532222,-6.808136166094675,3
-1.5460225951802538,2.328839629070185,-6.302476865532222,-6.808136166094675,-1.493675791944496,2.699435840100005,-6.4458372683215925,-6.971639230068914,3
